Citance Number: 1 | Reference Article:  A00-2026.txt | Citing Article:  P01-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, context-based models of disambiguation have been shown to represent significant improvements over the baseline (Bangalore and Rambow, 2000), (Ratnaparkhi, 2000).</S> | Reference Offset:  ['4','35'] | Reference Text:  <S sid = 4 ssid = >NLG1 serves a baseline system and uses phrase frequencies to generate a whole phrase in one step, while NLG2 and NLG3 use maximum entropy probability models to individually generate each word in the phrase.</S><S sid = 35 ssid = >Its performance is intended to serve as a baseline result to the more sophisticated models discussed later.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-2026.txt | Citing Article:  P04-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the case of Ratnaparkhi's generator for flight information in the air travel domain (Ratnaparkhi, 2000), the transformation algorithm is trivial as the generator uses the corpus itself (annotated with semantic information such as destination or flight number) as input to a surface realizer with an n-gram model of the domain, along with a maximum entropy probability model for selecting when to use which phrase.</S> | Reference Offset:  ['4','39'] | Reference Text:  <S sid = 4 ssid = >NLG1 serves a baseline system and uses phrase frequencies to generate a whole phrase in one step, while NLG2 and NLG3 use maximum entropy probability models to individually generate each word in the phrase.</S><S sid = 39 ssid = >The local and non-local information is integrated with use of features in a maximum entropy probability model, and a highly pruned search procedure attempts to find the best scoring word sequence according to the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-2026.txt | Citing Article:  W05-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The likelihood of realisations given concepts or semantic representations has been modeled directly, but is probably limited to small-scale and specialised applications: summarisation construed as term selection and ordering [Witbrock and Mittal, 1999], grammar-free stochastic surface realisation [Oh and Rudnicky, 2000], and surface realisation construed as attribute selection and lexical choice [Ratnaparkhi, 2000]. Some of the above papers compare the purely statistical methods to other machine learning methods such as memory-based learning and reinforcement learning.</S> | Reference Offset:  ['0','113'] | Reference Text:  <S sid = 0 ssid = >Trainable Methods For Surface Natural Language Generation</S><S sid = 113 ssid = >NLG2 and NLG3 are also statistical learning approaches but generate from an actual semantic representation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-2026.txt | Citing Article:  W05-1627.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >[Ratnaparkhi, 2000] describes a sentence realizer that had been trained on a domain-specific corpus (in the air travel domain) augmented with semantic attribute value pairs.</S> | Reference Offset:  ['23','116'] | Reference Text:  <S sid = 23 ssid = >All systems in this paper use attribute-value pairs as a semantic representation, which suffice as a representation for a limited domain like air travel.</S><S sid = 116 ssid = >In the air travel domain, the length of a phrase fragment to describe an attribute is usually only a few words.</S> | Discourse Facet:  NA | Annotator: Automatic


