Citance Number: 1 | Reference Article:  C08-1114.txt | Citing Article:  N09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Language modeling (Chen and Goodman, 1996), noun-clustering (Ravichandran et al, 2005), constructing syntactic rules for SMT (Galley et al, 2004), and finding analogies (Turney, 2008) are examples of some of the problems where we need to compute relative frequencies.</S> | Reference Offset:  ['82','176'] | Reference Text:  <S sid = 82 ssid = >Turney et al (2003) used a combination of 13 independent modules.</S><S sid = 176 ssid = >The morphological processing in PairClass (Minnen et al, 2001) is more sophisticated than in Turney (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C08-1114.txt | Citing Article:  E09-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An alternative embedding is that used by Turney (2008) in his PairClass system (see Section 6).</S> | Reference Offset:  ['74','178'] | Reference Text:  <S sid = 74 ssid = >In this section, we apply PairClass to the taskof recognizing analogies.</S><S sid = 178 ssid = >See Section 3 for explanations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C08-1114.txt | Citing Article:  E09-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Turney (2008) has recently proposed a simpler SVM-based algorithm for analogical classification called PairClass.</S> | Reference Offset:  ['77','170'] | Reference Text:  <S sid = 77 ssid = >The target pair is called the stem.</S><S sid = 170 ssid = >PairClass uses a support vector machine (SVM) instead of a nearest neighbour (NN) learning algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C08-1114.txt | Citing Article:  E09-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Turney (2008) argues that many NLP tasks can be formulated in terms of analogical reasoning, and he applies his PairClass algorithm to a number of problems including SAT verbal analogy tests, synonym/antonym classification and distinction between semantically similar and semantically associated words.</S> | Reference Offset:  ['6','130'] | Reference Text:  <S sid = 6 ssid = >We introduce a supervised corpus-based machine learning algorithm for classifying analogous word pairs, and we show that it can solve multiple-choice SAT analogy questions, TOEFL synonymquestions, ESL synonym-antonym questions, and similar-associated-both ques tions from cognitive psychology.</S><S sid = 130 ssid = >3.4 Similar, Associated, and Both.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C08-1114.txt | Citing Article:  C10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, (Turney, 2008) proposes a supervised machine learning approach for discovering synonyms, antonyms, analogies and associations. For that purpose, feature vectors are based on frequencies of patterns and classified by a SVM.</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >A Uniform Approach to Analogies Synonyms Antonyms and Associations</S><S sid = 18 ssid = >We use a standard supervised 905 machine learning approach, with feature vectorsbased on the frequencies of patterns in a large cor pus.</S> | Discourse Facet:  NA | Annotator: Automatic


