Citance Number: 1 | Reference Article:  D07-1111.txt | Citing Article:  W07-2220.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This technique, first proposed by Sagae and Lavie (2006), was used in the highest scoring system in both the multilingual track (Hall et al, 2007a) and the domain adaptation track (Sagae and Tsujii, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1044 task (Nivre et al, 2007), which differed from the 2006 edition by featuring two separate tracks, one in multilingual parsing, and a new track on domain adaptation for dependency parsers.</S><S sid = NA ssid = NA>Our system?s accuracy was the highest in the domain adaptation track (with labeled attachment score of 81.06%), and only 0.43% below the top scoring system in the multilingual parsing track (our average labeled attachment score over the ten languages was 79.89%).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1111.txt | Citing Article:  W07-2220.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The best performing (closed class) system in the domain adaptation track used a combination of co-learning and active learning by training two different parsers on the labeled training data, parsing the unlabeled domain data with both parsers, and adding parsed sentences to the training data only if the two parsers agreed on their analysis (Sagae and Tsujii, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the domain adaptation track, we use two models to parse unlabeled data in the target domain to supplement the labeled out-of domain training set, in a scheme similar to one iteration of co-training.</S><S sid = NA ssid = NA>SVM models using the out-of-domain labeled training data; 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1111.txt | Citing Article:  P14-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sagae and Tsujii (2007) apply a variant of co-training to dependency parsing and report positive results on out-of-domain text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the domain adaptation track, we use two models to parse unlabeled data in the target domain to supplement the labeled out-of domain training set, in a scheme similar to one iteration of co-training.</S><S sid = NA ssid = NA>We present a data-driven variant of the LR algorithm for dependency parsing, and extend it with a best-first search for probabil istic generalized LR dependency parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1111.txt | Citing Article:  W11-1816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lastly we used a native dependency parser, the GENIA Dependency parser (GDep) by Sagae and Tsujii (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Dependency Parsing and Domain Adaptation with LR Models and Parser Ensembles</S><S sid = NA ssid = NA>We then show how we extend the deterministic parser into a best first probabilistic parser.</S> | Discourse Facet:  NA | Annotator: Automatic


