Citance Number: 1 | Reference Article:  D08-1021.txt | Citing Article:  W09-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, (Bannard and Callison-Burch, 2005) and (Callison-Burch, 2008) described a method to extract paraphrases from largely available bilingual corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bannard and Callison-Burch (2005) extract paraphrases from bilingual parallel corpora.</S><S sid = NA ssid = NA>We compare their quality against the Bannard and Callison-Burch (2005) baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1021.txt | Citing Article:  E12-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The work of Callison-Burch (2008) has shown how the monolingual context of a sentence to paraphrase can be used to improve the quality of the acquired paraphrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We improve the quality of paraphrases extracted from parallel corpora by requiring that phrases and their paraphrases be the same syntactic type.</S><S sid = NA ssid = NA>The paraphrases seem to be higher quality, especially if one considers their fidelity when they replace the original phrase in the context of some sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1021.txt | Citing Article:  D12-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Human evaluators were then asked to score each pair of an original sentence and a paraphrased sentence with the following two 5-point scale grades proposed by Callison-Burch (2008): Grammaticality: whether the paraphrased sentence is grammatical (1: horrible, 5: perfect) Meaning: whether the meaning of the original sentence is properly retained by the paraphrased sentence (1: totally different, 5: equivalent).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated whether paraphrases retained the meaning of their original phrases and whether they remained grammatical when they replaced the original phrase in a sentence.</S><S sid = NA ssid = NA>Tables 1 and 2 show how sub- and super-phrases can creep into the paraphrases: equal can be paraphrased as equal rights and create equal can be paraphrased as equal.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1021.txt | Citing Article:  D12-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 1 shows the average of the original 5-point scale scores and the percentage of examples that are judged correct based on a binary judgment (Callison-Burch, 2008): an example is considered to be correct iff the grammaticality score is 4 or above and/or the meaning score is 3 or above.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We considered an item to have the same meaning if it was assigned a score of 3 or greater, and to be grammatical if it was assigned a score of 4 or 5.</S><S sid = NA ssid = NA>Correct meaning is the percent of time that a condition was assigned a 3, 4, or 5, and correct grammar is the percent of time that it was given a 4 or 5, using the scales from Table 5. than the baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


