Citance Number: 1 | Reference Article:  I08-1059.txt | Citing Article:  W09-2107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Projects involving learner corpora in analyzing and categorizing learner errors include NICT Japanese Learners of English (JLE), the Chinese Learners of English Corpus (Gamon et al, 2008) and English Taiwan Learner Corpus (or TLC) (Wible et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the NICT Japanese Learners of English (JLE) corpus (Izumi et al 2004), 26.6% of all errors are determiner related, and about 10% are preposition related, making these two error types the dominant ones in the corpus.</S><S sid = NA ssid = NA>The Chinese Learners of English Corpus (CLEC, Gui and Yang 2003) has a coarser and somewhat inconsistent error tagging scheme that makes it harder to isolate the two errors, but of the non-orthographic errors, more than 10% are determiner and number related.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  I08-1059.txt | Citing Article:  W12-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most of these methods use large corpora of well-formed native English text to train statistical models, e.g. (Han et al., 2004), (Gamon et al., 2008) and (De Felice and Pulman, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, Han et al (2004, 2006) use a maximum entropy classifier to propose article corrections in TESOL essays, while Izumi et al (2003) and Chodorow et al (2007) present techniques of automatic preposition choice modeling.</S><S sid = NA ssid = NA>453 Chodorow et al (2007) present numbers on an independently developed system for detection of preposition error in non-native English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  I08-1059.txt | Citing Article:  W12-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our implementation we approach these tasks in a two-step approach as proposed in (Gamon et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1 Liu et al 2000 take a similar approach, retrieving.</S><S sid = NA ssid = NA>Their approach is similar to ours in that they use a classifier with contextual feature vectors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  I08-1059.txt | Citing Article:  W12-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our error correction system implements a correction validation mechanism as proposed in (Gamon et al., 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(5) There is a spelling error at or near the correction ?</S><S sid = NA ssid = NA>(4) the error is at or near the suggested correction, but it is a different kind of error (not having to do with prepositions/determiners) ?</S> | Discourse Facet:  NA | Annotator: Automatic


