Citance Number: 1 | Reference Article:  J02-3001.txt | Citing Article:  P02-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gildea and Jurafsky (2002) describe a statistical system trained on the data from the FrameNet project to automatically assign semantic roles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The system is based on statistical classifiers trained on roughly 50,000 sentences that were hand-annotated with semantic roles by the FrameNet semantic labeling project.</S><S sid = NA ssid = NA>Given an input sentence and a target word frame, the system labels constituents with either abstract semantic roles, such as or more domain-specific semantic roles, such as and The system is based on statistical classifiers trained on roughly 50,000 sentences that were hand-annotated with semantic roles by the FrameNet semantic labeling project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J02-3001.txt | Citing Article:  P02-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In previous work using the FrameNet corpus, Gildea and Jurafsky (2002) developed a system to predict semantic roles from sentences and their parse trees as determined by the statistical parser of Collins (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used Collins’ (1997) statistical parser trained on examples from the Penn Treebank to generate parses of the same format for the sentences in our data.</S><S sid = NA ssid = NA>As with phrase type, the feature was read from parse trees returned by the parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J02-3001.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Early work in frame-semantic analysis was pioneered by Gildea and Jurafsky (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A more complete semantic analysis system would thus require a module for frame disambiguation.</S><S sid = NA ssid = NA>We return to an analysis of which roles are hardest to classify in Section 9.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J02-3001.txt | Citing Article:  W10-3204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first SRL model on FrameNet was proposed by Gildea and Jurafsky (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As a rule, the more abstract roles have been proposed by linguists, who are more concerned with explaining generalizations across verbs in the syntactic realization of their arguments, whereas the more specific roles have more often been proposed by computer scientists, who are more concerned with the details of the realization of the arguments of specific verbs.</S><S sid = NA ssid = NA>FrameNet roles are defined for each semantic frame.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J02-3001.txt | Citing Article:  W11-1818.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many of the features used are inspired by those used in semantic role labeling systems (Gildea and Jurafsky, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We now turn to combining the two systems described above into a complete role labeling system.</S><S sid = NA ssid = NA>Automatic Labeling Of Semantic Roles</S> | Discourse Facet:  NA | Annotator: Automatic


