Citance Number: 1 | Reference Article:  J03-4003.txt | Citing Article:  W04-3233.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This figure shows the amount of time (excluding any startup overhead) spent parsing or bracketing using this system (the two lowest lines) versus the parsers of Collins (2003) and Charniak (2000) run with default settings.</S> | Reference Offset:  ['264','531'] | Reference Text:  <S sid = 264 ssid = >Two models (Collins 2000; Charniak 2000) outperform models 2 and 3 on section 23 of the treebank.</S><S sid = 531 ssid = >Charniak (2000) shows that using the POS tags as word class information in the model is important for parsing accuracy. c The coordination flag.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J03-4003.txt | Citing Article:  W04-3233.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Reranking of n-best lists has recently become popular in several natural language problems, including parsing (Collins, 2003), machine translation (Och and Ney, 2002) and web search (Joachims, 2002).</S> | Reference Offset:  ['9','78'] | Reference Text:  <S sid = 9 ssid = >This article describes three statistical models for natural language parsing.</S><S sid = 78 ssid = >(See Collins [2002] for a discussion of other ways of conceptualizing the parsing problem.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J03-4003.txt | Citing Article:  W04-3233.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Collins (2003) uses both Markov Random Fields and boosting, Och and Ney (2002) use a maximum entropy ranking scheme, and Joachims (2002) uses a support vector approach.</S> | Reference Offset:  ['78','503'] | Reference Text:  <S sid = 78 ssid = >(See Collins [2002] for a discussion of other ways of conceptualizing the parsing problem.)</S><S sid = 503 ssid = >Charniak (2000) describes a parsing model that also uses Markov processes to generate rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J03-4003.txt | Citing Article:  W04-3233.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All the COL03 systems are results obtained using the restriction of the output of Collins (2003) parser.</S> | Reference Offset:  ['31','341'] | Reference Text:  <S sid = 31 ssid = >In Model 2, we extend the parser to make the complement/adjunct distinction, which will be important for most applications using the output from the parser.</S><S sid = 341 ssid = >The results are given below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J03-4003.txt | Citing Article:  W09-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >My guess is that the features used in e.g., the Collins (2003) or Charniak (2000) parsers are probably close to optimal for English Penn Treebank parsing (Marcus et al, 1993), but that other features might improve parsing of other languages or even other English genres.</S> | Reference Offset:  ['264','510'] | Reference Text:  <S sid = 264 ssid = >Two models (Collins 2000; Charniak 2000) outperform models 2 and 3 on section 23 of the treebank.</S><S sid = 510 ssid = >Finally, Bod (2001) describes a very different approach (a DOP approach to parsing) that gives excellent results on treebank parsing, comparable to the results of Charniak (2000) and Collins (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


