Citance Number: 1 | Reference Article:  J05-1003.txt | Citing Article:  H05-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work in statistical parsing (Collins and Koo, 2005) has shown that applying reranking techniques to the n-best output of a base parser can improve parsing performance.</S> | Reference Offset:  ['0','213'] | Reference Text:  <S sid = 0 ssid = >Discriminative Reranking For Natural Language Parsing</S><S sid = 213 ssid = >A baseline statistical parser is used to generate N-best output both for its training set and for test data sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J05-1003.txt | Citing Article:  H05-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous approaches (e.g., (Collins and Koo, 2005)) have used a linear model to combine the log probability under a base parser with arbitrary features derived from parse trees.</S> | Reference Offset:  ['7','462'] | Reference Text:  <S sid = 7 ssid = >The method combined the log-likelihood under a baseline model (that of Collins [1999]) with evidence from an additional 500,000 features over parse trees that were not included in the model.</S><S sid = 462 ssid = >These methods all emphasize models which define a joint probability over the space of all parse trees (or structures in question): For this reason we describe these approaches as “Joint log-linear models.”The probability of a tree xi,j is Here Z is the (infinite) set of possible trees, and the denominator cannot be calculated explicitly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J05-1003.txt | Citing Article:  H05-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our work, we included all features described in (Collins and Koo, 2005).</S> | Reference Offset:  ['356','459'] | Reference Text:  <S sid = 356 ssid = >The following types of features were included in the model.</S><S sid = 459 ssid = >Both approaches still rely on decomposing a parse tree into a sequence of decisions, and we would argue that the techniques described in this article have more flexibility in terms of the features that can be included in the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J05-1003.txt | Citing Article:  H05-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have found that features in (Collins and Koo, 2005), initially developed for English parsing, also give appreciable gains in accuracy when applied to Spanish.</S> | Reference Offset:  ['425','427'] | Reference Text:  <S sid = 425 ssid = >5.4.3 Efficiency Gains.</S><S sid = 427 ssid = >In this section we explore the empirical gains in efficiency seen on the parsing data sets in this article.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J05-1003.txt | Citing Article:  H05-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the reranking experiments, we follow the procedure described in (Collins and Koo, 2005) for creation of a training set with n-best parses for each sentence.</S> | Reference Offset:  ['335','350'] | Reference Text:  <S sid = 335 ssid = >For example, the iterative scaling procedure described above must be applied for a number of features.</S><S sid = 350 ssid = >The number of such parses varies sentence by sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


