Citance Number: 1 | Reference Article:  J05-3002.txt | Citing Article:  P14-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To evaluate the grammaticality of our generated summaries, following common practice (Barzilay and McKeown, 2005), we randomly selected 50 sentences from original conversations and system generated abstracts, for each dataset.</S> | Reference Offset:  ['309','326'] | Reference Text:  <S sid = 309 ssid = >The judge also had access to the original theme from which these sentences were generated.</S><S sid = 326 ssid = >To evaluate our sentence fusion algorithm, we selected 100 themes following the procedure described in the previous section.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J05-3002.txt | Citing Article:  P11-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, recent research on analyzing online social media shown a growing interest in mining news stories and headlines because of its broad applications ranging from "meme" tracking and spike detection (Leskovec et al., 2009) to text summarization (Barzilay and McKeown, 2005).</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >Sentence Fusion For Multidocument News Summarization</S><S sid = 47 ssid = >MultiGen takes as input a cluster of news stories on the same event and produces a summary which synthesizes common information across input stories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J05-3002.txt | Citing Article:  W11-1607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The pioneering work on fusion is Barzilay and McKeown (2005), which introduces the frame work used by subsequent projects: they represent the inputs by dependency trees, align some words to merge the input trees into a lattice, and then extract a single, connected dependency tree as the output.</S> | Reference Offset:  ['113','198'] | Reference Text:  <S sid = 113 ssid = >This algorithm operates on the dependency trees for pairs of input sentences.</S><S sid = 198 ssid = >Two dependency trees and their alignment tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J05-3002.txt | Citing Article:  W09-2808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay and McKeown (2005) proposed an idea called sentence fusion that integrates information in overlapping sentences to produce a non-overlapping summary sentence.</S> | Reference Offset:  ['115','188'] | Reference Text:  <S sid = 115 ssid = >In the subsections that follow, we describe first how this representation is computed, then how dependency subtrees are aligned, and finally how we choose between constituents conveying overlapping information.</S><S sid = 188 ssid = >Instead, we select a combination already present in the input sentences as a basis and transform it into a fusion sentence by removing extraneous information and augmenting the fusion sentence with information from other sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J05-3002.txt | Citing Article:  W09-2808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is the other way around compared to the English dependency such as in Barzilay and McKeown (2005).</S> | Reference Offset:  ['198','261'] | Reference Text:  <S sid = 198 ssid = >Two dependency trees and their alignment tree.</S><S sid = 261 ssid = >In the previous version of the system (Barzilay, McKeown, and Elhadad 1999), we performed linearization of a fusion dependency structure using the language generator FUF/SURGE (Elhadad and Robin 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


