Citance Number: 1 | Reference Article:  J08-1001.txt | Citing Article:  E09-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Barzilay and Lapata (2008) presented early work in investigating the use of discourse to distinguish abridged from original encyclopedia articles.</S> | Reference Offset:  ['214','521'] | Reference Text:  <S sid = 214 ssid = >Our results are presented in Section 4.3.</S><S sid = 521 ssid = >The corpus contains 107 articles from the full version of the encyclopedia and their corresponding simplified articles from Britannica Elementary (214 articles in total).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J08-1001.txt | Citing Article:  P14-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We adopt Barzilay and Lapata (2008)'s entity based local coherence model to represent a document by an entity grid, and extract local transitions among entities in continuous discourse constituents.</S> | Reference Offset:  ['0','133'] | Reference Text:  <S sid = 0 ssid = >Modeling Local Coherence: An Entity-Based Approach</S><S sid = 133 ssid = >Local transitions can be easily obtained from a grid as continuous subsequences of each column.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J08-1001.txt | Citing Article:  S12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A prominent example is the entity-based model by Barzilay and Lapata (2008).</S> | Reference Offset:  ['239','450'] | Reference Text:  <S sid = 239 ssid = >We focused on three sources of linguistic knowledge—syntax, coreference resolution, and salience—which play a prominent role in entity-based analyses of disBarzilay and Lapata Modeling Local Coherence course coherence (see Section 3.3 for details).</S><S sid = 450 ssid = >Unfortunately, we could not Barzilay and Lapata Modeling Local Coherence employ Barzilay and Lee’s (2004) content models for the summary ranking task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J08-1001.txt | Citing Article:  P14-2059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Adapted from the introduction to Barzilay and Lapata (2008).</S> | Reference Offset:  ['205','450'] | Reference Text:  <S sid = 205 ssid = >1998) or sentences (Lapata 2003; Barzilay and Lee 2004).</S><S sid = 450 ssid = >Unfortunately, we could not Barzilay and Lapata Modeling Local Coherence employ Barzilay and Lee’s (2004) content models for the summary ranking task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J08-1001.txt | Citing Article:  P11-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow Barzilay and Lapata (2008) and use the Fisher Sign test.</S> | Reference Offset:  ['306','335'] | Reference Text:  <S sid = 306 ssid = >We assess whether differences in accuracy are statistically significant using a Fisher Sign Test.</S><S sid = 335 ssid = >First, note that the entity-grid model significantly outperforms LSA on both domains (p < .01 using a Sign test, see Table 5).</S> | Discourse Facet:  NA | Annotator: Automatic


