Citance Number: 1 | Reference Article:  J96-1001.txt | Citing Article:  W12-3207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This score is used, for instance, in the collocation compiler XTract (Smadja, 1993) and in the lexicon extraction system Champollion (Smadja et al, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To evaluate Champollion, we used a collocation compiler, XTRACT (Smadja 1993), to automatically produce several lists of source (English) collocations.</S><S sid = NA ssid = NA>We use XTRACT (Smadja and McKeown 1990; Smadja 1991a; Smadja 1993), a tool we developed previously, to identify collocations in the source language (task 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J96-1001.txt | Citing Article:  P07-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Consequently, if we compare our approach to the problem of collocation identification, we may say that we are more interested in precision than recall (Smadja et al, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>His evaluation shows 68% precision and 64% recall.</S><S sid = NA ssid = NA>But even if we artificially impose some lower ceiling for m—say three times the length of the source language collocation—we run into the second, and more severe, problem of the exhaustive approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J96-1001.txt | Citing Article:  W03-0314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This highlights the need for finding multi-word translation correspondences. Previous works that focus on multi-word translation correspondences from parallel corpora include noun phrase correspondences (Kupiec, 1993), fixed flexible collocations (Smadja et al, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Kupiec (1993) describes a technique for finding noun phrase correspondences in bilingual corpora using several stages.</S><S sid = NA ssid = NA>Evaluation has not been completed for the remaining correspondences-4900 distinct English noun phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J96-1001.txt | Citing Article:  W03-0314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our preliminary finding supports the work on collocation by Smadja et al (1996) in that gapped sequences are also an important class of multi-word translations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One of the major differences between their work and ours is that, like van der Eijk and Kupiec, they only handle translation of uninterrupted sequences of words; they do not handle the broader class of flexible collocations.</S><S sid = NA ssid = NA>The error is due to the fact that the French word important did not pass the first step of the algorithm as its Dice coefficient with important factor was too low.</S> | Discourse Facet:  NA | Annotator: Automatic


