Citance Number: 1 | Reference Article:  N03-1003.txt | Citing Article:  N03-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It's still possible to use MSA if, for example, the input is pre-clustered to have the same constituent ordering (Barzilay and Lee (2003)).</S> | Reference Offset:  ['25','41'] | Reference Text:  <S sid = 25 ssid = >In contrast to previous work using MSA for generation (Barzilay and Lee, several versions of their component sentences.</S><S sid = 41 ssid = >Use of comparable corpora and minimal use of knowledge resources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N03-1003.txt | Citing Article:  P13-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >MSA is commonly used in bioinformatics to identify equivalent fragments of DNAs (Durbin et al, 1998).</S> | Reference Offset:  ['75','145'] | Reference Text:  <S sid = 75 ssid = >Pairwise MSA can be extended efficiently to multiple sequences via the iterative pairwise alignment, a polynomial-time method commonly used in computational biology (Durbin et al., 1998).3 The results can be represented in an intuitive form via a word lattice (see Figure 3), which compactly represents (n-gram) structural similarities between the cluster’s sentences.</S><S sid = 145 ssid = >Lattices have proven advantageous in a number of NLP contexts (Mangu et al., 2000; Bangalore et al., 2002; Barzilay and Lee, 2002; Pang et al., 2003), but were usually produced from (multi-)parallel data, which may not be readily available for many applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N03-1003.txt | Citing Article:  P13-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Barzilay and Lee (2003), we approach the sentence clustering task by hierarchical complete-link clustering with a similarity metric based on word n-gram overlap (n= 1, 2, 3).</S> | Reference Offset:  ['68','140'] | Reference Text:  <S sid = 68 ssid = >This is accomplished by applying hierarchical complete-link clustering to the sentences using a similarity metric based on word n-gram overlap ( ).</S><S sid = 140 ssid = >We presented an approach for generating sentence level paraphrases, a task not addressed previously.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N03-1003.txt | Citing Article:  P13-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We adopt the scoring function for MSA from Barzilay and Lee (2003).</S> | Reference Offset:  ['25','74'] | Reference Text:  <S sid = 25 ssid = >In contrast to previous work using MSA for generation (Barzilay and Lee, several versions of their component sentences.</S><S sid = 74 ssid = >Pairwise MSA takes two sentences and a scoring function giving the similarity between words; it determines the highest-scoring way to perform insertions, deletions, and changes to transform one of the sentences into the other.</S> | Discourse Facet:  NA | Annotator: Automatic


