Citance Number: 1 | Reference Article:  N03-1024.txt | Citing Article:  N03-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We point out that one such approach, recently proposed by Pang et al (2003), also represents paraphrases by lattices, similarly to our method, although their lattices are derived using parse information.</S> | Reference Offset:  ['19','152'] | Reference Text:  <S sid = 19 ssid = >In previous work, Langkilde and Knight (1998) used word lattices for language generation, but their method involved hand-crafted rules.</S><S sid = 152 ssid = >Recently, Papineni et al. (2002) have proposed an automatic MT system evaluation technique (the BLEU score).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N03-1024.txt | Citing Article:  P13-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Much prior work has used lattices to compactly represent a range of lexical choices (Pang et al,2003).</S> | Reference Offset:  ['19','178'] | Reference Text:  <S sid = 19 ssid = >In previous work, Langkilde and Knight (1998) used word lattices for language generation, but their method involved hand-crafted rules.</S><S sid = 178 ssid = >The results in Table 6 suggest that our FSA may be used in order to refine the BLEU metric (Papineni et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N03-1024.txt | Citing Article:  W05-1612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar work is described in [Pang et al, 2003], who describe a syntax-based algorithm that builds word lattices from parallel translations which can be used to generate new para phrases.</S> | Reference Offset:  ['1','26'] | Reference Text:  <S sid = 1 ssid = >We describe a syntax-based algorithm that automatically builds Finite State Automata (word lattices) from semantically equivalent translation sets.</S><S sid = 26 ssid = >As a result, we propose a new syntax-based algorithm to produce FSAs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N03-1024.txt | Citing Article:  W05-1612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','190'] | Reference Text:  <S sid = 59 ssid = >Our keyword checking procedure acts as a filter.</S><S sid = 190 ssid = >Any opinions, findings, and conclusions or recommendations expressed above are those of the authors and do not necessarily reflect the views of the National Science Foundation or the Sloan Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N03-1024.txt | Citing Article:  W11-1604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a similar vein, Pang et al (2003) used a corpus of alternative English translations of Chinesenews stories in combination with a syntax-based algorithm that automatically builds word lattices, in which paraphrases can be identified.</S> | Reference Offset:  ['1','116'] | Reference Text:  <S sid = 1 ssid = >We describe a syntax-based algorithm that automatically builds Finite State Automata (word lattices) from semantically equivalent translation sets.</S><S sid = 116 ssid = >It’s worth noticing that the syntax-based algorithm also picks up many paraphrases that are not identified as synonyms in WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


