Citance Number: 1 | Reference Article:  N09-1028.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another similar work is that of (Xu et al, 2009). They created a pre-ordering rule set for dependency parsers from English to several SOV languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These children have some relative ordering that is typically fixed for SOV languages.</S><S sid = NA ssid = NA>They also focus on either Chinese to English (Zhang et.al., 2007; Li et.al., 2007) or English to Danish (Elming, 2008), which arguably have less long distance reordering than between English and SOV languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N09-1028.txt | Citing Article:  P12-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is true that tree-based reordering cannot cover all word movement operations in language translation, previous work showed that this method is still very effective in practice (Xu et al., 2009, Visweswariah et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It has been shown that direct modeling of target language constituents movement in either constituency trees (Yamada and Knight, 2001; Galley et.al., 2006; Zollmann et.al., 2008) or dependency trees (Quirk, et.al., 2005) can result in significant improvements in translation quality for translating languages like Chinese and Arabic into English.</S><S sid = NA ssid = NA>Syntactical analysis of source language can be used to deterministically reorder input sentences (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007), or to provide multiple orderings as weighted options (Zhang et.al., 2007; Li et.al., 2007; Elming, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N09-1028.txt | Citing Article:  P12-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, a pre-reorder system using manual rules as (Xu et al, 2009) is included for the English to-Japanese experiment (ManR-PR).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To see this, we carried out a controlled experiment, using Korean as an example.</S><S sid = NA ssid = NA>PR is our proposed approach in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N09-1028.txt | Citing Article:  P12-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Xu et al (2009) designed a clever precedence reordering rule set for translation from English to several SOV languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They also focus on either Chinese to English (Zhang et.al., 2007; Li et.al., 2007) or English to Danish (Elming, 2008), which arguably have less long distance reordering than between English and SOV languages.</S><S sid = NA ssid = NA>One of our motivations of using the precedence reordering rules is that English will look like SOV languages in word order after reordering.</S> | Discourse Facet:  NA | Annotator: Automatic


