Citance Number: 1 | Reference Article:  N10-1063.txt | Citing Article:  W11-1207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, (Smith et al, 2010) reported significant improvements mining parallel Wikipedia articles using more sophisticated indicators of sentence parallelism, incorporating a richer set of features and cross-sentence dependencies within a Conditional Random Fields (CRFs) model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our model is a first order linear chain Conditional Random Field (CRF) (Lafferty et al., 2001).</S><S sid = NA ssid = NA>Wikipedia’s markup contains other useful indicators for parallel sentence extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N10-1063.txt | Citing Article:  W11-1208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A recent study by Smith et al (2010) extracted parallel sentences from comparable corpora to extend the existing resources.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Extracting Parallel Sentences from Comparable Corpora using Document Level Alignment</S><S sid = NA ssid = NA>We were pleasantly surprised at the amount of parallel sentences extracted from such a varied comparable corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N10-1063.txt | Citing Article:  P13-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This methodology is similar to that of Smith et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This data is used to train a word alignment model, such as IBM Model 1 (Brown et al., 1993) or HMM-based word alignment (Vogel et al., 1996).</S><S sid = NA ssid = NA>A similar source of information has been used to create seed lexicons in (Koehn and Knight, 2002) and as part of the feature space in (Haghighi et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N10-1063.txt | Citing Article:  P13-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many websites are available in multiple languages, and unlike other potential sources — such as multilingual news feeds (Munteanu and Marcu, 2005) or Wikipedia (Smith et al., 2010) — it is common to find document pairs that are direct translations of one another.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Section 2 describes the multilingual resources available in Wikipedia.</S><S sid = NA ssid = NA>The related problem of automatic document alignment in news and web corpora has been explored by a number of researchers, including Resnik and Smith (2003), Munteanu and Marcu (2005), Tillmann and Xu (2009), and Tillmann (2009).</S> | Discourse Facet:  NA | Annotator: Automatic


