Citance Number: 1 | Reference Article:  P01-1025.txt | Citing Article:  C02-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We are aware of the fact that other measures of lexical association have been proposed (Evert and Krenn, 2001, and MI values were computed using Adam Berger's trigger toolkit (Berger, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Methods For The Qualitative Evaluation Of Lexical Association Measures</S><S sid = NA ssid = NA>In computational linguistics, a variety of (statistical) measures have been proposed for identifying lexical associations between words in lexical tuples extracted from text corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P01-1025.txt | Citing Article:  D11-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors would like to thank the anonymous reviewers for many helpful comments and interesting references.</S><S sid = NA ssid = NA>The most problematic aspect here is that conclusions drawn from -best lists for a single (and often small) value of are only snapshots and likely to be misleading.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P01-1025.txt | Citing Article:  C04-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following the methodology described by Evert and Krenn (2001), German PP-verb combinations were extracted from a chunk-parsed version of the Frankfurter Rundschau Corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The second set consists of PNV triples extracted from an 8 million word portion of the Frankfurter Rundschau Corpus4, in which partof-speech tags and minimal PPs were identified.5 The PNV triples were selected automatically such that the preposition and the noun are constituents of the same PP, and the PP and the verb co-occur within a sentence.</S><S sid = NA ssid = NA>The criteria used for the distinction between collocations and arbitrary word combinations are: There is a grammatical relation between the verb and the PP, and the triple can be interpreted as support verb construction and/or a metaphoric or idiomatic reading is available, e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P01-1025.txt | Citing Article:  P06-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors would like to thank the anonymous reviewers for many helpful comments and interesting references.</S><S sid = NA ssid = NA>The most problematic aspect here is that conclusions drawn from -best lists for a single (and often small) value of are only snapshots and likely to be misleading.</S> | Discourse Facet:  NA | Annotator: Automatic


