Citance Number: 1 | Reference Article:  P05-1044.txt | Citing Article:  W05-1505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent work by Smith and Eisner (2005) on contrastive estimation suggests similar techniques to generate local neighborhoods of a parse; however, the purpose in their work is to define an approximation to the partition function for log-linear estimation (i.e., the normalization factor in a MaxEnt model).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 as contrastive estimation (CE).</S><S sid = NA ssid = NA>Contrastive Estimation: Training Log-Linear Models On Unlabeled Data</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1044.txt | Citing Article:  W09-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Smith and Eisner (2005a; 2005b) generate negative evidence for their contrastive estimation method by moving or removing a word in a sentence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 as contrastive estimation (CE).</S><S sid = NA ssid = NA>DEL1SUBSEQ and DEL1WORD are poor because they do not give helpful classes of negative evidence: deleting a word or a short subsequence often does very little damage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1044.txt | Citing Article:  P08-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On this task, with certain neighborhoods, contrastive estimation suffers less than EM does from diminished prior knowledge and is able to exploit new features—that EM can’t—to largely recover from the loss of knowledge.</S><S sid = NA ssid = NA>Of course, the validity of this hypothesis will depend on the form of the neighborhood function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1044.txt | Citing Article:  P10-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We compare the output to two annotation schemes: the fine grained PTB WSJ scheme, and the coarse grained tags defined in (Smith and Eisner, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We compare CE (using neighborhoods from §4) with EM on POS tagging using unlabeled data.</S><S sid = NA ssid = NA>CE offers an additional way to inject domain knowledge into unsupervised learning (Smith and Eisner, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1044.txt | Citing Article:  W10-2909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Smith and Eisner (2005) initialized with all weights equal to zero (uninformed, deterministic initialization) and performed unsupervised model selection across smoothing parameters by evaluating the training criterion on unseen, unlabeled development data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised model selection.</S><S sid = NA ssid = NA>For each (criterion, dataset) pair, we selected the smoothing trial that gave the highest estimation criterion score on a 5K-word development set (also unlabeled).</S> | Discourse Facet:  NA | Annotator: Automatic


