Citance Number: 1 | Reference Article:  P05-1045.txt | Citing Article:  P06-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel et al (2005) used simulated annealing with Gibbs sampling to find a solution in a similar situation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>To verify the effectiveness of Gibbs sampling and simulated annealing as an inference technique for hidden state sequence models, we compare Gibbs and Viterbi inference methods for a basic CRF, without the addition of any non-local model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1045.txt | Citing Article:  P06-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also conduct experiments using simulated annealing in decoding, as conducted by Finkel et al (2005) for information extraction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>By using simulated annealing in place of Viterbi decoding in sequence models such as HMMs, CMMs, and CRFs, it is possible to incorporate non-local structure while preserving tractable inference.</S><S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1045.txt | Citing Article:  P06-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel et al (2005) proposed a method incorporating non-local structure for information extraction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Incorporating Non-Local Information Into Information Extraction Systems By Gibbs Sampling</S><S sid = NA ssid = NA>However, information extraction tasks can benefit from modeling non-local structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1045.txt | Citing Article:  C10-2078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To compute the features which we extract in the next section, all instances in our data sets were part-of-speech tagged by the MXPOST tagger (Ratnaparkhi, 1996), parsed with the MaltParser, and named entity tagged with the Stanford NE tagger (Finkel et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>As an example, several authors (see Section 8) mention the value of enforcing label consistency in named entity recognition (NER) tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1045.txt | Citing Article:  N10-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One such technique is Markov chain Monte Carlo, and in particular Gibbs sampling (Finkel et al, 2005), another is (loopy) sum-product belief propagation (Smith and Eisner,2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They also utilize loopy belief propagation for approximate learning and inference.</S><S sid = NA ssid = NA>Thus it is called a Markov Chain Monte Carlo (MCMC) method; see Andrieu et al. (2003) for a good MCMC tutorial.</S> | Discourse Facet:  NA | Annotator: Automatic


