Citance Number: 1 | Reference Article:  P06-1067.txt | Citing Article:  N07-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It was also partially supported by DARPA TIDES program monitored by SPAWAR under contract number N66001-99-2-8916.</S><S sid = NA ssid = NA>(Yamada and Knight, 2002) propose a syntax-based decoder that restrict word reordering based on reordering operations on syntactic parse-trees of the input sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1067.txt | Citing Article:  P12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lexicalized distortion models predict the jump from the last translated word to the next one, with a class for each possible jump length (Al-Onaizan and Papineni, 2006), or bin of lengths (Green et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Second, their models consider only the direction (i.e., orientation) and not the relative jump.</S><S sid = NA ssid = NA>Any aligner such as (Al-Onaizan et al., 1999) or (Vogel et al., 1996) can be used to obtain word alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1067.txt | Citing Article:  D09-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Demonstrating the inadequacy of such approaches, Al-Onaizan and Papineni (2006) showed that even given the words in the reference translation, and their alignment to the source words, a decoder of this sort charged with merely rearranging them into the correct target-language order could achieve a BLEU score (Papineni et al., 2002) of at best 69% and that only when restricted to keep most words very close to their source positions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This new model leads to significant improvements in MT quality as measured by BLEU (Papineni et al., 2002).</S><S sid = NA ssid = NA>The final translation is a hypothesis that covers all source words and has the minimum cost among all possible 9 hypotheses that cover all source words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1067.txt | Citing Article:  D09-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is similar to the oracle ordering used by Al-Onaizan and Papineni (2006), but differs in the handling of unaligned words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Any aligner such as (Al-Onaizan et al., 1999) or (Vogel et al., 1996) can be used to obtain word alignments.</S><S sid = NA ssid = NA>The above distortion costs are used in conjunction with other cost components used in our decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1067.txt | Citing Article:  C10-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It was also partially supported by DARPA TIDES program monitored by SPAWAR under contract number N66001-99-2-8916.</S><S sid = NA ssid = NA>(Yamada and Knight, 2002) propose a syntax-based decoder that restrict word reordering based on reordering operations on syntactic parse-trees of the input sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


