Citance Number: 1 | Reference Article:  P06-1134.txt | Citing Article:  P14-1145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In recent years, Akkaya et al (2009) report a successful empirical result where WSD helps improving sentiment analysis, while Wiebe and Mihalcea (2006) study the distinction between objectivity and subjectivity in each different sense of a word, and their empirical effects in the context of sentiment analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Wiebe et al., 2005).</S><S sid = NA ssid = NA>Second, can automatic subjectivity analysis be used to improve word sense disambiguation?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1134.txt | Citing Article:  C08-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was partially supported by ARDA AQUAINT and by the NSF (award IIS-0208798).</S><S sid = NA ssid = NA>Finally, classifying a sense as B means it covers both subjective and objective usages, e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1134.txt | Citing Article:  C08-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As an example, Wiebe and Mihalcea (2006) prove that subjectivity information for WordNet senses can improve word sense disambiguation tasks for subjectivity ambiguous words (such as positive).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Word Sense And Subjectivity</S><S sid = NA ssid = NA>Second, can automatic subjectivity analysis be used to improve word sense disambiguation?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1134.txt | Citing Article:  C08-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wiebe and Mihalcea (2006) label word senses in WordNet as subjective or objective.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first (Section 3) investigates agreement between annotators who manually assign the labels subjective, objective, or both to WordNet senses.</S><S sid = NA ssid = NA>Note that the word senses for which none of the distributionally similar words are found in the MPQA corpus are not Specifically, in the list of word senses ranked by their subjectivity score, we assign a subjectivity label to the top N word senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1134.txt | Citing Article:  C08-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow Wiebe and Mihalcea (2006) in that we see subjective expressions as private states that are not open to objective observation or verification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A general covering term for such states is private state, “a state that is not open to objective observation or verification” (Quirk et al., 1985).1 There are three main types of subjective expressions:2 His alarm grew.</S><S sid = NA ssid = NA>Nonetheless, we hypothesized that subjective senses tend to appear more often in subjective expressions than objective senses do, and use the appearance of words in subjective expressions as evidence of sense subjectivity.</S> | Discourse Facet:  NA | Annotator: Automatic


