Citance Number: 1 | Reference Article:  P07-1091.txt | Citing Article:  P14-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Li et al (2007) focused on finding the n-best pre-ordered source sentences by predicting the reordering of sibling constituents.</S> | Reference Offset:  ['19','33'] | Reference Text:  <S sid = 19 ssid = >It should be noted that the second Chinese block “R#, HI” and its English counterpart “at the end of” are not constituents at all.</S><S sid = 33 ssid = >A notable approach is lexicalized reordering (Koehn et al., 2005) and (Tillmann, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1091.txt | Citing Article:  C10-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Li et al (2007) use a maximum entropy system to learn reordering rules for binary trees (i.e., whether to keep or reorder for each node).</S> | Reference Offset:  ['73','95'] | Reference Text:  <S sid = 73 ssid = >Maximum Entropy (ME) Model, which does the binary classification whether a binary node’s children are inverted or not, based on a set of features over the SL phrases corresponding to the two children nodes.</S><S sid = 95 ssid = >The maximum entropy model has the same form as in the binary case, except that there are more classes of reordering patterns as n increases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1091.txt | Citing Article:  C08-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is one of the main problems addressed in the present work. (Li et al, 2007) use weighted n-best lists as in put for the decoder.</S> | Reference Offset:  ['36','47'] | Reference Text:  <S sid = 36 ssid = >The most notable ones are (Xia and McCord, 2004) and (Collins et al., 2005), both of which make use of linguistic syntax in the preprocessing stage.</S><S sid = 47 ssid = >A variety of reordered SL sentences are fed to the decoder so that the decoder can consider, to certain extent, the interaction between reordering and other factors of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1091.txt | Citing Article:  C08-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A negative consequence of source order (SO) scoring as done by (Zhang et al, 2007) and (Li et al, 2007) is that they bias against the valuable phrase internal reorderings by only promoting the source sentence reordering.</S> | Reference Offset:  ['23','33'] | Reference Text:  <S sid = 23 ssid = >Our method is inspired by previous preprocessing approaches like (Xia and McCord, 2004), (Collins et al., 2005), and (Costa-juss`a and Fonollosa, 2006), which split translation into two stages: where a sentence of the source language (SL), S, is first reordered with respect to the word order of the target language (TL), and then the reordered SL sentence S' is translated as a TL sentence T by monotonous translation.</S><S sid = 33 ssid = >A notable approach is lexicalized reordering (Koehn et al., 2005) and (Tillmann, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


