Citance Number: 1 | Reference Article:  P08-1023.txt | Citing Article:  D08-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, they are promising because the search space of translations is much larger than the typical N-best list (Mi et al, 2008).</S> | Reference Offset:  ['13','56'] | Reference Text:  <S sid = 13 ssid = >However, a k-best list, with its limited scope, often has too few variations and too many redundancies; for example, a 50-best list typically encodes a combination of 5 or 6 binary ambiguities (since 25 < 50 < 26), and many subtrees are repeated across different parses (Huang, 2008).</S><S sid = 56 ssid = >The decoder performs two tasks on the translation forest: 1-best search with integrated language model (LM), and k-best search with LM to be used in minimum error rate training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1023.txt | Citing Article:  P14-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, Mi et al (2008) have proposed a method for forest-to-string (F2S) translation using packed forests to encode many possible sentence interpretations.</S> | Reference Offset:  ['73','81'] | Reference Text:  <S sid = 73 ssid = >Following Huang (2008), we modify the parser to output a packed forest for each sentence.</S><S sid = 81 ssid = >On dev and test sets, we prune the Chinese parse forests by the forest pruning algorithm in Section 3.4 with a threshold of p = 12, and then convert them into translation forests using the algorithm in Section 3.2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1023.txt | Citing Article:  W10-1761.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nor do we try to expand the space where rules can apply by propagating uncertainty from the parser in building input forests, as in (Mi et al, 2008), but we build ambiguity into the translation rule.</S> | Reference Offset:  ['48','75'] | Reference Text:  <S sid = 48 ssid = >translation hyperedge translation rule parse forest, and try to pattern-match each translation rule r against the local sub-forest under node v. For example, in Figure 3(a), at node VP1,6, two rules r3 and r7 both matches the local subforest, and will thus generate two translation hyperedges e3 and e4 (see Figure 3(b-c)).</S><S sid = 75 ssid = >We first word-align them by GIZA++ refined by “diagand” from Koehn et al. (2003), and apply the tree-to-string rule extraction algorithm (Galley et al., 2006; Liu et al., 2006), which resulted in 346K translation rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1023.txt | Citing Article:  W10-1761.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus, high quality parsers are unavailable for many source languages of interest. Parse forests can be used to mitigate the accuracy problem, allowing the decoder to choose from many alternative parses, (Mi et al, 2008).</S> | Reference Offset:  ['10','76'] | Reference Text:  <S sid = 10 ssid = >This situation becomes worse with resource-poor source languages without enough Treebank data to train a high-accuracy parser.</S><S sid = 76 ssid = >Note that our rule extraction is still done on 1-best parses, while decoding is on k-best parses or packed forests.</S> | Discourse Facet:  NA | Annotator: Automatic


