Citance Number: 1 | Reference Article:  P08-1084.txt | Citing Article:  D08-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, there has been recent work on applying unsupervised multilingual learning to morphological segmentation (Snyder and Barzilay, 2008).</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Multilingual Learning for Morphological Segmentation</S><S sid = 16 ssid = >This example illustrates the potential benefits of unsupervised multilingual learning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1084.txt | Citing Article:  W11-0301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['95','192'] | Reference Text:  <S sid = 95 ssid = >For each new phrase-pair, the model first chooses the number and type of morphemes to be generated.</S><S sid = 192 ssid = >7</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1084.txt | Citing Article:  W09-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Snyder and Barzilay, 2008) use multilingual data to compute segmentations of Arabic, Hebrew, Aramaic, and English.</S> | Reference Offset:  ['38','160'] | Reference Text:  <S sid = 38 ssid = >We test our model on a multilingual corpus of short parallel phrases drawn from the Hebrew Bible and Arabic, Aramaic, and English translations.</S><S sid = 160 ssid = >We don’t have gold standard segmentations for the English and Aramaic portions of the data, and thus restrict our evaluation to Hebrew and Arabic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1084.txt | Citing Article:  D09-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Snyder and Barzilay (2008) uses a set of aligned phrases across related languages to learn how to segment words with a Bayesian model and is otherwise fully unsupervised.</S> | Reference Offset:  ['77','163'] | Reference Text:  <S sid = 77 ssid = >Overview In order to simultaneously model probabilistic dependencies across languages as well as morpheme distributions within each language, we employ a hierarchical Bayesian model.2 Our segmentation model is based on the notion that stable recurring string patterns within words are indicative of morphemes.</S><S sid = 163 ssid = >The number of words in such phrases ranges from one to four words in the Semitic languages and up to six words in English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P08-1084.txt | Citing Article:  W09-0106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The very interesting study by Snyder and Barzilay (2008) on multilingual approaches to morphological segmentation was difficult to classify.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Multilingual Learning for Morphological Segmentation</S><S sid = 3 ssid = >In particular, we study the task of morphological segmentation of multiple languages.</S> | Discourse Facet:  NA | Annotator: Automatic


