Citance Number: 1 | Reference Article:  P09-2004.txt | Citing Article:  C10-2118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The same assumption underlies methods for automatically identifying DRMs (Pitler and Nenkova, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Implicit relations are those inferred by the reader in the absence of a discourse connective and so are hard to identify automatically.</S><S sid = NA ssid = NA>We report state-ofthe-art results for identifying discourse vs. non-discourse usage and human-level performance on sense disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-2004.txt | Citing Article:  P14-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Such semantic information is based on external lists of lexical items and on the output of the add Discourse tagger (Pitler and Nenkova, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our experiments we consider only the top level categories: Expansion (one clause is elaborating information in the other), Comparison (information in the two clauses is compared or contrasted), Contingency (one clause expresses the cause of the other), and Temporal (information in two clauses are related because of their timing).</S><S sid = NA ssid = NA>Based on the findings from a corpus study, Marcu’s parser “ignored both cue phrases that had a sentential role in a majority of the instances in the corpus and those that were too ambiguous to be explored in the context of a surface-based approach”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-2004.txt | Citing Article:  D11-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The handling of explicit connectives can be split into three tasks (Pitler and Nenkova, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Explicit relations are much easier (Pitler et al., 2008).</S><S sid = NA ssid = NA>Using Syntax to Disambiguate Explicit Discourse Connectives in Text</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-2004.txt | Citing Article:  D11-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The syntactic features (Syn) are inspired by (Pitler and Nenkova, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>After developing syntactic features for the discourse versus non-discourse usage task, we investigated whether these same features would be useful for sense disambiguation.</S><S sid = NA ssid = NA>We demonstrate that syntactic features improve performance in both disambiguation tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P09-2004.txt | Citing Article:  D11-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Models M2-M4 do not rely on gold standard annotation or parsing (in contrast to the models for English in (Pitler and Nenkova, 2009)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The syntactic features we used were extracted from the gold standard Penn Treebank (Marcus et al., 1994) parses of the PDTB articles: Self Category The highest node in the tree which dominates the words in the connective but nothing else.</S><S sid = NA ssid = NA>In contrast, in sentence (2b), once occurs with a non-discourse sense, meaning “formerly” and modifying “used”.</S> | Discourse Facet:  NA | Annotator: Automatic


