Citance Number: 1 | Reference Article:  P96-1027.txt | Citing Article:  C96-2155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The method is an extension of the chart based generation algorithm described in Kay (1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chart Generation</S><S sid = NA ssid = NA>The algorithm schema.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P96-1027.txt | Citing Article:  C96-2155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kay (1996) provides a more general view of the chart structure which is designed to provide for generation advantages comparable to those it provides for parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In particular, we will be interested in the extent to which they bring to the generation process advantages comparable to those that make them attractive in parsing.</S><S sid = NA ssid = NA>In particular, we will be interested in the extent to which they bring to the generation process advantages comparable to those that make them attractive in parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P96-1027.txt | Citing Article:  C96-2155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We will concentrate on a detailed description of these annotations as they are a crucial component of our method and they are the major difference between the current proposal and the one described in Kay (1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(1989)) and the differences are, in any case, not germane to our current concerns.</S><S sid = NA ssid = NA>Arguments have been made in favor of a head-driven strategy which would, however, have been marginally more (e.g. in Kay (1989), Shieber, el. and the differences are, in any case, not germane to our current concerns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P96-1027.txt | Citing Article:  P14-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Wang, 1980) uses handwritten rules to generate sentences from an extended predicate logic formalism; (Shieber et al., 1990) introduces a head-driven algorithm for generating from logical forms; (Kay, 1996) defines a chart based algorithm which enhances efficiency by minimising the number of semantically incomplete phrases being built; and (Shemtov, 1996) presents an extension of the chart based generation algorithm presented in (Kay, 1996) which supports the generation of multiple paraphrases from underspecified semantic input.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chart Generation</S><S sid = NA ssid = NA>The algorithm schema.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P96-1027.txt | Citing Article:  W08-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The PCFG-based generation algorithms are implemented in terms of a chart generator (Kay, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chart Generation</S><S sid = NA ssid = NA>A generator, for our purposes, is the inverse.</S> | Discourse Facet:  NA | Annotator: Automatic


