Citance Number: 1 | Reference Article:  P99-1041.txt | Citing Article:  P00-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Minipar outputs dependency trees (Lin, 1999) from the input sentences.</S> | Reference Offset:  ['15','18'] | Reference Text:  <S sid = 15 ssid = >The input to our algorithm is a collocation database and a thesaurus.</S><S sid = 18 ssid = >We parsed a 125-million word newspaper corpus with Minipar,1 a descendent of Principar (Lin, 1993; Lin, 1994), and extracted dependency relationships from the parsed corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1041.txt | Citing Article:  W05-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Prior work in discovering non-compositional phrases has been carried out by Lin (1999) and Baldwin et al (2003), who also used LSA to distinguish between compositional and non compositional verb-particle constructions and noun noun compounds.</S> | Reference Offset:  ['0','69'] | Reference Text:  <S sid = 0 ssid = >Automatic Identification Of Non-Compositional Phrases</S><S sid = 69 ssid = >We examined three types of dependency relationships: object-verb, noun-noun, and adjective-noun.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1041.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dekang Lin proposes a way to automatically identify the noncompositionality of MWEs (Lin, 1999).</S> | Reference Offset:  ['62','123'] | Reference Text:  <S sid = 62 ssid = >For example, (Lin, 1998) compared automatically created thesaurus with the WordNet (Miller et a).., 1990) and Roget's Thesaurus.</S><S sid = 123 ssid = >We have presented a method to identify noncompositional phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1041.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Least mutual information difference with similar collocations: this feature is based on Lin's work (Lin, 1999).</S> | Reference Offset:  ['118','124'] | Reference Text:  <S sid = 118 ssid = >For each marked pairs, the &quot;similar collocation&quot; column provides a similar collocation with a similar mutual information value (i.e., the reason why the pair is not consider to be non-compositional).</S><S sid = 124 ssid = >The method is based on the assumption that non-compositional phrases have a significantly different mutual information value than the phrases that are similar to their literal meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P99-1041.txt | Citing Article:  C08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lin (1999) gave a corpus-based method for finding various types of non-compositional phrases, including the sort discussed in this paper.</S> | Reference Offset:  ['7','124'] | Reference Text:  <S sid = 7 ssid = >Less obviously, non-compositional expressions need to be treated differently than other phrases in many statistical or corpus-based NLP methods.</S><S sid = 124 ssid = >The method is based on the assumption that non-compositional phrases have a significantly different mutual information value than the phrases that are similar to their literal meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


