Citance Number: 1 | Reference Article:  W02-1006.txt | Citing Article:  P03-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we used the WSD program reported in (Lee and Ng, 2002).</S> | Reference Offset:  ['52','92'] | Reference Text:  <S sid = 52 ssid = >This parameter is also used by (Ng and Lee, 1996).</S><S sid = 92 ssid = >Our reported results in this paper used the linear kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-1006.txt | Citing Article:  P13-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More precisely, we follow (Lee and Ng, 2002), a reference work for WSD, by adopting a Support Vector Machines (SVM) classifier with a linear kernel and three kinds of features for characterizing each considered occurrence in a text of the reference word.</S> | Reference Offset:  ['3','92'] | Reference Text:  <S sid = 3 ssid = >The learning algorithms evaluated include Support Vector Machines (SVM), Naive Bayes, AdaBoost, and decision tree algorithms.</S><S sid = 92 ssid = >Our reported results in this paper used the linear kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-1006.txt | Citing Article:  P13-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Only features based on syntactic relations are not taken from (Lee and Ng, 2002) since their use would have not been coherent with the window based approach of the building of our initial thesaurus.</S> | Reference Offset:  ['13','14'] | Reference Text:  <S sid = 13 ssid = >Another approach involves the use of dictionary or thesaurus to perform WSD.</S><S sid = 14 ssid = >In this paper, we focus on a corpus-based, supervised learning approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-1006.txt | Citing Article:  W06-2911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We adopt the feature design used by Lee and Ng (2002), which consists of the following four types: (1) Local context: n-grams of nearby words (position sensitive); (2) Global context: all the words (excluding stop words) in the given context (position-insensitive; a bag of words); (3) POS: parts-of-speech n-grams of nearby words; (4) Syntactic relations: syntactic information obtained from parser output.</S> | Reference Offset:  ['2','77'] | Reference Text:  <S sid = 2 ssid = >Our knowledge sources include the part-of-speech of neighboring words, single words in the surrounding context, local collocations, and syntactic relations.</S><S sid = 77 ssid = >We also investigated the effect of feature selection on syntactic-relation features that are words (i.e., POS, voice, and relative position are excluded).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W02-1006.txt | Citing Article:  W06-2911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our single-task baseline performance is almost the same as LN02 (Lee and Ng, 2002), which uses SVM.</S> | Reference Offset:  ['52','153'] | Reference Text:  <S sid = 52 ssid = >This parameter is also used by (Ng and Lee, 1996).</S><S sid = 153 ssid = >Also, using the combination of four knowledge sources gives better performance than using any single individual knowledge source for most algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


