Citance Number: 1 | Reference Article:  W02-2016.txt | Citing Article:  P14-2091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dependency parser we apply is an implementation of a shift-reduce dependency parser which uses a bunsetsu-chunk as a basic unit for parsing (Kudo and Matsumoto, 2002).</S> | Reference Offset:  ['1','36'] | Reference Text:  <S sid = 1 ssid = >In this paper, we propose a new statistical Japanese dependency parser using a cascaded chunking model.</S><S sid = 36 ssid = >Let us introduce the basic framework of the cascaded chunking parsing method: We apply this cascaded chunking parsing technique to Japanese dependency analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-2016.txt | Citing Article:  P06-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We converted the POS system used in the Kyoto Text Corpus into ChaSen's POS system because we used ChaSen, a Japanese morphological analyzer, and CaboCha3 (Kudo and Matsumoto, 2002), a dependency analyzer incorporating SVMs, as a state-of the art corpus-based Japanese dependency structure analyzer that prefers ChaSen's POS system to that of JUMAN.</S> | Reference Offset:  ['85','95'] | Reference Text:  <S sid = 85 ssid = >We used all 38,383 sentences of the Kyoto University text corpus Version 3.0.</S><S sid = 95 ssid = >For a segment X and its dynamic feature C, we set POS tag and POS-subcategory of the HW of X.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-2016.txt | Citing Article:  W07-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Next, against the results of identifying compound functional expressions, we apply the method of dependency analysis based on the cascaded chunking model (Kudo and Matsumoto, 2002), which is simple and efficient because it parses a sentence deterministically only deciding whether the current bunsetsu segment modifies the one on its immediate right hand side.</S> | Reference Offset:  ['3','13'] | Reference Text:  <S sid = 3 ssid = >We propose a new method that is simple and efficient, since it parses a sentence deterministically only deciding whether the current segment modifies the segment on its immediate right hand side.</S><S sid = 13 ssid = >The method parses a sentence deterministically only deciding whether the current segment modifies segment on its immediate right hand side.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-2016.txt | Citing Article:  W07-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Next, we further show that the dependency analysis model of (Kudo and Matsumoto, 2002) applied to the results of identifying compound functional expressions significantly outperforms the one applied to the results without identifying compound functional expressions.</S> | Reference Offset:  ['122','127'] | Reference Text:  <S sid = 122 ssid = >Generally, the results with the dynamic feature set is better than the results without it.</S><S sid = 127 ssid = >Table 4 summarizes recent results on Japanese dependency analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


