Citance Number: 1 | Reference Article:  W04-2319.txt | Citing Article:  W12-1616.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the work of Shriberg et al (2004), we use the 5 general tags in our experiments: Disruption indicates the current Dialogue Act is interrupted.</S> | Reference Offset:  ['35','66'] | Reference Text:  <S sid = 35 ssid = >The MRDA system requires one “general tag” per DA, and attaches a variable number of following “specific tags”.</S><S sid = 66 ssid = >If instead we look at only the 11 obligatory general tags, for which there is one per DA, and if we split labels at the pipe bar, the total is 113,560 (excluding tags that only include a disruption label).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-2319.txt | Citing Article:  C10-2150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Like the Switchboard corpus, the ICSI Meeting Room DA (MRDA) corpus (Shriberg et al, 2004) was annotated using a variant of the DAMSL tag set, similar but not identical to the Switchboard DAMSL annotation.</S> | Reference Offset:  ['0','14'] | Reference Text:  <S sid = 0 ssid = >The ICSI Meeting Recorder Dialog Act (MRDA) Corpus</S><S sid = 14 ssid = >The ICSI Meeting Corpus data is described in detail in [9].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-2319.txt | Citing Article:  C10-2150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The differences (and a translation between the two sets) can be seen in Shriberg et al (2004).</S> | Reference Offset:  ['27','75'] | Reference Text:  <S sid = 27 ssid = >We found that SWBD-DAMSL [11], a system adapted from DAMSL [6], provided a fairly good fit.</S><S sid = 75 ssid = >The views are those of the authors and do not represent the views of the funding agencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-2319.txt | Citing Article:  C10-2150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To facilitate cross-corpus classification, we will cluster these labels as described in Shriberg et al (2004).</S> | Reference Offset:  ['14','22'] | Reference Text:  <S sid = 14 ssid = >The ICSI Meeting Corpus data is described in detail in [9].</S><S sid = 22 ssid = >Each type of annotation is described in detail in [7].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-2319.txt | Citing Article:  W06-1643.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also used additional annotation that has been developed to support higher-level analyses of meeting structure, in particular the ICSI Meeting Recorder Dialog act (MRDA) corpus (Shriberg et al., 2004).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >The ICSI Meeting Recorder Dialog Act (MRDA) Corpus</S><S sid = 12 ssid = >In this paper, we provide a first description of the meeting recorder dialog act (MRDA) corpus, a companion set of annotations that augment the word transcriptions with discourse-level segmentations, dialog act (DA) information, and adjacency pair information.</S> | Discourse Facet:  NA | Annotator: Automatic


