Citance Number: 1 | Reference Article:  W05-0602.txt | Citing Article:  W10-2903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>i</S><S sid = NA ssid = NA>Figure 1 showsthe SAPT for a simple sentence in the CLANG do main.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W05-0602.txt | Citing Article:  P06-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>SCISSOR (Ge and Mooney, 2005), a system that learns an integrated syntactic-semantic parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It first usesan integrated statistical parser to pro duce a semantically augmented parse tree, in which each non-terminal node has both a syntactic and a semantic label.</S><S sid = NA ssid = NA>A Statistical Semantic Parser That Integrates Syntax And Semantics</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W05-0602.txt | Citing Article:  N06-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Figure 6 shows the performance of WASP com pared to four other algorithms: SILT (Kate et al,2005), COCKTAIL (Tang and Mooney, 2001), SCIS SOR (Ge and Mooney, 2005) and Zettlemoyer and Collins (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Training the system requires sentences an notated with both gold-standard SAPT?s and MR?s. We present experimental results on corpora for bothgeography-database querying and Robocup coaching demonstrating that SCISSOR produces more accurate semantic representations than several previ ous approaches based on symbolic learning (Tang and Mooney, 2001; Kate et al, 2005).</S><S sid = NA ssid = NA>Collins?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W05-0602.txt | Citing Article:  W11-0131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Of course, other annotations (Ge and Mooney, 2005) carry more explicit forms of semantics.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Statistical Semantic Parser That Integrates Syntax And Semantics</S><S sid = NA ssid = NA>A compositional-semantics procedure is then used to map the augmented parse tree into a final meaning representation.</S> | Discourse Facet:  NA | Annotator: Automatic


