Citance Number: 1 | Reference Article:  W09-0432.txt | Citing Article:  N10-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>See, for example, Koehn and Schroeder (2007) or Bertoldi and Federico (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our work is mostly related to (Koehn and Schroeder, 2007) but explores different assumptions about available adaptation data: i.e. only monolingual in-domain texts are available.</S><S sid = NA ssid = NA>In (Koehn and Schroeder, 2007) cross-domain adaptation techniques were applied on a phrasebased SMT trained on the Europarl task, in order to translate news commentaries, from French to English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W09-0432.txt | Citing Article:  P13-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to use source-side monolingual data, Ueffing et al (2007), Schwenk (2008), Wu et al (2008) and Bertoldi and Federico (2009) employed the transductive learning to first translate the source-side monolingual data using the best configuration (baseline+in-domain lexicon+indomain language model) and obtain 1-best translation for each source-side sentence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The adaptation of the translation and re-ordering models is performed by generating synthetic bilingual data from monolingual texts, similarly to what proposed in (Schwenk, 2008).</S><S sid = NA ssid = NA>Cross-domain adaptation is faced under the assumption that only monolingual texts are available, either in the source language or in the target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W09-0432.txt | Citing Article:  W11-2138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bertoldi and Federico (2009) used monolingual data for adapting existing translation models to translation of data from different domains.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both the language and the translation models are retrained on the extracted data.</S><S sid = NA ssid = NA>This paper addresses the issue of adapting an already developed phrase-based translation system in order to work properly on a different domain, for which almost no parallel data are available but only monolingual texts.1 The main components of the SMT system are the translation model, which aims at porting the content from the source to the target language, and the language model, which aims at building fluent sentences in the target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W09-0432.txt | Citing Article:  C10-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Koehn and Schroeder, 2007), different ways to combine available data belonging to two different sources was explored; in (Bertoldi and Federico, 2009) similar experiments were performed, but considering only additional source data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our work is mostly related to (Koehn and Schroeder, 2007) but explores different assumptions about available adaptation data: i.e. only monolingual in-domain texts are available.</S><S sid = NA ssid = NA>When more TMs Sj are available, Moses can behave in two different ways in pre-fetching the translation options.</S> | Discourse Facet:  NA | Annotator: Automatic


