Citance Number: 1 | Reference Article:  W97-0313.txt | Citing Article:  W98-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach builds upon earlier work on corpus-based methods for generating extraction patterns (Riloff, 1996b) and semantic lexicons (Riloff and Shepherd, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Corpus-Based Approach For Building Semantic Lexicons</S><S sid = NA ssid = NA>Our corpus-based approach is designed to support fast semantic lexicon construction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W97-0313.txt | Citing Article:  W98-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The corpus-based algorithm that we used to build the semantic lexicon (Riloff and Shepherd, 1997) requires five seed words as input for each semantic category, and produces a ranked list of words that are statistically associated with each category.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The output is a ranked list of words that are associated with the category.</S><S sid = NA ssid = NA>Our approach is geared toward fast semantic lexicon construction: given a handful of seed words for a category and a representative text corpus, one can build a semantic lexicon for a category in just a few minutes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W97-0313.txt | Citing Article:  W98-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For more details of this algorithm, see (Riloff and Shepherd, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the first section, we describe the statistical bootstrapping algorithm for identifying candidate category words and ranking them.</S><S sid = NA ssid = NA>The algorithm is clearly sensitive to the initial seed words, but the degree of sensitivity is unknown.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W97-0313.txt | Citing Article:  W04-2402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, we exploit syntactic constructions shown to be useful by other studies - lists and conjunctions (Roark and Charniak, 1998), and adjacent words (Riloff and Shepherd, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an example, the seed word lists used in our experiments are shown below.</S><S sid = NA ssid = NA>For each category, we began with the seed word lists shown in Figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W97-0313.txt | Citing Article:  P12-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Hearst, 1992), Snowball (Agichtein and Gravano, 2000), AutoSlog (Riloff and Shepherd, 1997), and Junto (Talukdar, 2010) among others, also have similarities to our approach.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Corpus-Based Approach For Building Semantic Lexicons</S><S sid = NA ssid = NA>Note that our context window is much narrower than those used by other researchers (Yarowsky, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


